"","Month (We are collecting April, May, June, July, August, September of 2022 for each clinic)","Unit of Measure Name (Primary Clinic #1, Primary Clinic #2, etc) (if you have 150 clinics you should have 150 lines of data submitted here)","Organization Number","Organization Region Type (Rural, Community, Urban): Rural 1, Community 2, Urban 3","Organization Type (Stand Alone Medical Group, Academic HealthSystem, Integrated Health System, Federally Qualitifed Health System, Rural Health System): Stand Alone 1, Academic 2, Integrated 3, Federally Qualified 4, Rural 5","Number of Ambulatory Clinics (Total Clinics: Primary Peds, Primary Adult, Primary Family, Specialty, Hospital Based, Stand Alone, other)","Total Number of Ambulatory Primary Care Clinics that care for all ages (pediatric through adult)","Total number of Ambulatory Primary Care Clinics that Serve Adults over 18 years of Age","Organization Magnet Status: Yes 1, No 2","Organization Magnet Status inclusive of Ambulatory Structure: Yes 1, No 2","Organization Stand alone for Ambulatory Structure. Achievement of Magnet: Yes 1, No 2","Chief Nursing Officer Present for Ambulatory Structure: Yes 1, No 2","Number of Primary Care Clinics serving adults over 18 years of age with RN Manager","Ratio of RN Manager to Primary Care Clinic serving over 18 year old adults (choose the following: 1= 1:1 ratio, 2= 3:1 ratio, 3= 6:1 ratio, 4= 1: 10 or over clinics ratio)","Collective Bargaining Unit in Place Ambulatory Structure: Yes 1, No 2","Centralized RN Staffing in place for Ambulatory Primary Care Clinics Submitted? Yes 1 or No 2","If Centralized RN Staffing in place for Ambulatory Primary Clinics Submitted what are Actual RN Hours Worked/month by that combined staff?","Centralized Telehealth Center in place for Ambulatory Primary Care Clinics for the purposes of Access, Population Health or Care Coordination: Yes 1 or No 2","If Centralized Telehealth Center in place for Ambulatory Primary Care Clinics Submitted what are the actual Hours Worked/month by that combined staff?","Unit of Measurement Total Number of Patients over 18 years of age seen/month (Total number of patients seen/month= visits +  telehealth encounters + RN Visits/Month collected for the 6 months collected) (April thru September 2022) (Sum of Column U, V and W)","Unit of Measurement Total Number of Visits/Month/6 months collected for patients over 18 years of age","Unit of Measurement Total Number of RN Visits/Month/6 months collected for patients over 18 years of age","Unit of Measurement Total Number of RN Tele or Virtual Visits/Month/6 months collected","Actual Hours Worked RN/Clinic/Month Collected","Actual Hours Worked APN/Clinic/Month Collected","Actual Hours Worked PA/Clinic/Month Collected","Actual Hours Worked MA/Clinic/Month Collected","Actual Hours Worked MD/Clinic/Month Collected","Actual Hours Worked LPN/Clinic/Month Collected","Actual Hours Worked/Other Ancillary Staff","Actual Hours Worked Contract Staff/Clinic/Month Collected","Budgeted Hours Worked RN/Clinic/Month Collected","Budgeted Hours Worked APN/Clinic/Month Collected","Budgeted Hours Worked PA/Clinic/Month Collected","Budgeted Hours Worked MA/Clinic/Month Collected","Budgeted Hours Worked MD/Clinic/Month Collected","Budgeted Hours Worked LPN/Clinic/Month Collected","Budgeted Hours Worked/Other Ancillary Staff/Clinic/Month Collected","Budgeted Hours Worked Contract Staff/Clinic/Month Collected","Number of Patients Served between 18-40 years of age/Clinic/Month","Number of Patients Served between 41-65 years of age/Clinic/Month","Number of Patients Served between 66-89 years of age/Clinic/Month","Number of Patients Served over 89 years of age/Clinic/Month","Race: Number of Black African American Patients Served in Unit/Month Collected","Race: Number of Caucasian/White Patients Served in Unit/Month Collected","Race: Number of Asian Patients Served in Unit/Month Collected","Race: Number of Native Hawaiaan Patients Served in Unit/Month Collected","Race: Number Of Other Pacific Islander Patients Served in Unit/Month Collected","Race: Number of American Indian/Alaskan Indian Patients Served in Unit/Month Collected","Race: Number of Multiracial Patients (more than 1 race identified) Served in Unit/Month Collected","Race: Number of Unreported Race Patients Served in Unit/Month Collected","Ethnicity: Numberof Hispanic Patient Service in Unit/Month Collected","Ethnicity: Number of Non Hispanic Patients. Served in Unit/Month Collected","Ethnicity: Number of Unreported Ethnicity Patients Served in Unit/Month Collected","Gender at Birth: Number of Female Patients Served in Unit/Month Collected","Gender at Birth: Number of Male Patients Served in Unit/Month Collected","Gender at Birth: Number of Patients Who Identify as Unknown Gender at Time of Birth in Unit/Month Collected","Gender at Birth: Number of Patients Who Identify as ""X"" Gender at time of Birth in Unit/Month","Number of Patients with Private Payor in Unit/Month Collected","Number of Patients with Public/Governmental Payor in Unit/Month Collected","Number of Patients that are Uninsured in unit/month collected","Number of Patients Blood Pressure Assessed in Unit/Month Collected","Number of Patients with BP over 140/90/Unit/Month Collected","Number of Patients with Body Mass Index Assessed in Unit/Month Collected","Number of Patients with Body Mass Index over 30 in unit/month collected","Number of Patients with HGB A1C Assessed in unit/month collected","Number of Patients with HGB A1C over 9.0 in unit/month collected","Number of Patients with HGB A1C 8.0-8.9 in unit/month collected","Number of Patients with HGB A1C under 7.0-7.9in unit/month collected","Number of Patients with HGB A1C under 7.0"
"111","June 2022",3019097350,NA,2,"Medical Group","Primary Family","Primary Family","Primary Family","No","No","No","Yes",1,"1 RN : 1 site","No","No","N/A","No","N/A",607,607,0,0,"--","--","--","--","--","--","--","--",160,640,0,1120,480,800,0,"--",157,341,108,1,39,527,6,0,"n/a",2,28,5,34,570,3,320,287,0,0,447,138,22,576,83,587,255,0,0,0,0,0
"112","June 2022",3039000021,NA,2,"Medical Group","Primary Family","Primary Family","Primary Family",NA,NA,NA,NA,1,"1 RN : 1 site",NA,NA,NA,NA,NA,43,43,0,0,"--","--","--","--","--","--","--","--",0,0,0,1280,1296,0,160,"--",17,22,4,0,24,19,0,0,"n/a",0,0,0,2,41,0,34,9,0,0,19,15,9,0,0,0,0,0,0,0,0,0
"113","June 2022",3039000022,NA,2,"Medical Group","Primary Family","Primary Family","Primary Family",NA,NA,NA,NA,0,"0",NA,NA,NA,NA,NA,224,224,0,0,"--","--","--","--","--","--","--","--",0,160,0,320,160,160,0,"--",56,93,73,2,209,7,0,0,"n/a",0,6,2,3,215,6,172,52,0,0,100,124,0,203,58,207,105,74,1,4,10,55
"114","June 2022",3039000049,NA,2,"Medical Group","Primary Family","Primary Family","Primary Family",NA,NA,NA,NA,0,"0",NA,NA,NA,NA,NA,363,363,0,0,"--","--","--","--","--","--","--","--",0,0,0,160,160,160,0,"--",236,102,25,0,119,189,16,0,"n/a",1,34,4,17,339,7,265,98,0,0,296,56,11,290,53,319,111,121,0,1,3,111
"115","June 2022",3039000057,NA,2,"Medical Group","Primary Family","Primary Family","Primary Family",NA,NA,NA,NA,0,"0",NA,NA,NA,NA,NA,1375,1375,0,0,"--","--","--","--","--","--","--","--",0,0,0,320,1280,160,0,"--",174,705,451,26,1013,257,8,0,"n/a",2,69,7,46,1304,6,621,735,0,0,248,815,312,352,101,354,169,625,35,30,30,410
"116","June 2022",3039000112,NA,2,"Medical Group","Primary Family","Primary Family","Primary Family",NA,NA,NA,NA,1,"1 RN : 2 sites",NA,NA,NA,NA,NA,574,574,0,0,"--","--","--","--","--","--","--","--",0,0,0,160,320,160,0,"--",204,238,132,0,129,181,183,1,"n/a",1,59,20,51,497,26,374,200,0,0,416,151,7,553,139,548,163,59,0,4,9,41
"117","June 2022",3039000124,NA,2,"Medical Group","Primary Family","Primary Family","Primary Family",NA,NA,NA,NA,1,"1 RN : 3 sites",NA,NA,NA,NA,NA,268,267,1,0,"--","--","--","--","--","--","--","--",160,0,0,320,160,0,0,"--",160,88,19,1,80,111,20,0,"n/a",1,32,24,17,244,7,212,56,0,0,224,35,9,211,53,267,125,36,0,0,0,32
"118","June 2022",3039000134,NA,2,"Medical Group","Primary Family","Primary Family","Primary Family",NA,NA,NA,NA,1,"1 RN : 3 sites",NA,NA,NA,NA,NA,539,539,0,0,"--","--","--","--","--","--","--","--",0,0,0,160,320,160,0,"--",149,224,156,10,101,337,41,0,"n/a",0,54,6,31,500,8,351,188,0,0,294,200,45,501,127,506,192,143,0,4,16,120
"119","June 2022",3039000166,NA,2,"Medical Group","Primary Family","Primary Family","Primary Family",NA,NA,NA,NA,0,"0",NA,NA,NA,NA,NA,256,256,0,0,"--","--","--","--","--","--","--","--",0,0,0,160,160,0,0,"--",48,127,79,2,221,26,2,0,"n/a",0,6,1,11,244,1,147,109,0,0,101,149,6,247,66,251,138,67,1,5,12,34
"120","June 2022",3039000181,NA,2,"Medical Group","Primary Family","Primary Family","Primary Family",NA,NA,NA,NA,1,"1 RN : 2 sites",NA,NA,NA,NA,NA,217,217,0,0,"--","--","--","--","--","--","--","--",0,0,0,160,160,0,0,"--",58,81,71,7,20,145,21,0,"n/a",0,27,4,10,201,6,109,108,0,0,137,78,2,211,19,211,61,0,0,0,0,0
"121","June 2022",3039024730,NA,2,"Medical Group","Primary Family","Primary Family","Primary Family",NA,NA,NA,NA,1,"1 RN : 3 sites",NA,NA,NA,NA,NA,1077,1071,6,0,"--","--","--","--","--","--","--","--",0,0,160,480,480,160,0,"--",263,518,283,13,131,695,44,2,"n/a",5,153,47,68,957,52,561,516,0,0,694,354,29,869,290,885,318,0,0,0,0,0
"122","June 2022",3039024764,NA,2,"Medical Group","Primary Family","Primary Family","Primary Family",NA,NA,NA,NA,0,"0",NA,NA,NA,NA,NA,708,708,0,0,"--","--","--","--","--","--","--","--",0,0,0,0,0,0,0,"--",297,109,17,3,265,122,9,0,"n/a",0,23,7,22,397,7,260,166,0,0,350,64,12,414,103,396,158,3,0,0,1,2
"123","June 2022",3049000033,NA,2,"Medical Group","Primary Family","Primary Family","Primary Family",NA,NA,NA,NA,0,"0",NA,NA,NA,NA,NA,324,324,0,0,"--","--","--","--","--","--","--","--",0,320,0,0,160,640,0,"--",39,127,154,5,134,179,0,0,"n/a",1,2,9,1,323,1,200,125,0,0,103,208,13,276,113,247,134,66,0,2,8,50
"124","June 2022",3049000048,NA,2,"Medical Group","Primary Family","Primary Family","Primary Family",NA,NA,NA,NA,0,"0",NA,NA,NA,NA,NA,333,333,0,0,"--","--","--","--","--","--","--","--",0,160,0,160,160,160,0,"--",75,137,121,0,142,180,1,0,"n/a",0,5,5,3,328,2,183,150,0,0,128,200,5,254,86,251,139,47,0,2,5,37
"125","June 2022",3049000051,NA,2,"Medical Group","Primary Family","Primary Family","Primary Family",NA,NA,NA,NA,0,"0",NA,NA,NA,NA,NA,343,343,0,0,"--","--","--","--","--","--","--","--",0,320,0,0,160,640,0,"--",22,103,206,12,90,234,1,0,"n/a",1,2,15,2,340,1,183,160,0,0,75,260,8,280,98,265,118,67,0,8,7,47
"126","June 2022",3049000058,NA,2,"Medical Group","Primary Family","Primary Family","Primary Family",NA,NA,NA,NA,0,"0",NA,NA,NA,NA,NA,763,763,0,0,"--","--","--","--","--","--","--","--",0,160,0,640,320,480,0,"--",225,383,153,1,377,352,12,0,"n/a",0,16,5,7,755,0,486,276,0,0,312,411,40,724,312,689,401,83,0,10,11,37
"127","June 2022",3049000066,NA,2,"Medical Group","Primary Family","Primary Family","Primary Family",NA,NA,NA,NA,0,"0",NA,NA,NA,NA,NA,262,262,0,0,"--","--","--","--","--","--","--","--",0,0,0,160,160,160,0,"--",73,117,72,0,120,131,0,0,"n/a",0,8,3,3,259,0,156,106,0,0,88,169,5,189,42,178,110,38,0,3,5,26
"128","June 2022",3049025340,NA,2,"Medical Group","Primary Family","Primary Family","Primary Family",NA,NA,NA,NA,0,"0",NA,NA,NA,NA,NA,0,0,0,0,"--","--","--","--","--","--","--","--",0,0,0,160,160,0,0,"--",0,0,0,0,0,0,0,0,"n/a",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"129","June 2022",3019075490,NA,2,"Medical Group","Primary Adult","TOTAL: 36","Primary Adult",NA,NA,NA,NA,1,"1 RN : 1 site",NA,NA,NA,NA,NA,403,403,0,0,"--","--","--","--","--","--","--","--",160,272,128,576,320,640,0,"--",91,191,117,4,99,236,20,0,"n/a",1,44,3,37,361,5,184,219,0,0,245,150,8,366,111,384,163,27,0,0,9,17
"130","June 2022",3019020300,NA,2,"Medical Group","Primary Adult",NA,"Primary Adult",NA,NA,NA,NA,0,"0",NA,NA,NA,NA,NA,1039,1036,3,0,"--","--","--","--","--","--","--","--",0,256,0,480,496,160,0,"--",140,402,459,36,386,579,18,0,"n/a",3,46,5,40,992,5,728,309,0,0,423,602,14,880,250,981,460,252,0,14,32,191
"131","June 2022",3019073200,NA,2,"Medical Group","Primary Adult",NA,"Primary Adult",NA,NA,NA,NA,0,"0",NA,NA,NA,NA,NA,631,631,0,0,"--","--","--","--","--","--","--","--",0,0,0,320,416,160,0,"--",45,252,315,19,60,531,15,0,"n/a",1,21,3,10,614,7,357,274,0,0,286,336,9,599,121,593,240,206,0,4,18,180
"132","June 2022",3019073510,NA,2,"Medical Group","Primary Adult",NA,"Primary Adult",NA,NA,NA,NA,1,"1 RN : 1 site",NA,NA,NA,NA,NA,2480,2480,0,0,"--","--","--","--","--","--","--","--",160,144,144,1536,1120,800,0,"--",256,874,1270,78,370,1955,42,3,"n/a",7,85,16,82,2377,19,1415,1063,0,0,936,1508,36,2283,523,2221,862,390,0,16,35,318
"133","June 2022",3019074460,NA,2,"Medical Group","Primary Adult",NA,"Primary Adult",NA,NA,NA,NA,1,"1 RN : 1 site",NA,NA,NA,NA,NA,3308,3308,0,0,"--","--","--","--","--","--","--","--",160,320,0,2384,1520,960,0,"--",351,1562,1351,44,1193,1912,60,3,"n/a",6,118,15,95,3180,33,2086,1222,0,0,1559,1705,44,3018,897,3169,1630,681,1,25,79,548
"134","June 2022",3019074550,NA,2,"Medical Group","Primary Adult",NA,"Primary Adult",NA,NA,NA,NA,1,"1 RN : 3 sites",NA,NA,NA,NA,NA,429,428,1,0,"--","--","--","--","--","--","--","--",0,0,0,160,336,320,0,"--",66,203,155,4,255,128,2,2,"n/a",1,34,6,30,393,5,318,110,0,0,227,192,10,421,76,419,208,105,0,3,7,89
"135","June 2022",3019075400,NA,2,"Medical Group","Primary Adult",NA,"Primary Adult",NA,NA,NA,NA,1,"1 RN : 2 sites",NA,NA,NA,NA,NA,709,709,0,0,"--","--","--","--","--","--","--","--",0,0,0,320,480,160,0,"--",161,344,198,6,99,463,68,1,"n/a",6,63,9,53,646,10,363,346,0,0,472,228,9,663,146,689,286,168,0,5,15,142
"136","June 2022",3019087160,NA,2,"Medical Group","Primary Adult",NA,"Primary Adult",NA,NA,NA,NA,1,"1 RN : 1 site",NA,NA,NA,NA,NA,2070,2070,0,0,"--","--","--","--","--","--","--","--",160,128,0,1184,1216,800,0,"--",411,1018,615,26,381,1462,74,2,"n/a",10,126,14,112,1943,15,1261,808,1,0,1306,722,42,1972,372,1954,879,0,0,0,0,0
"137","June 2022",3039024947,NA,2,"Medical Group","Primary Adult",NA,"Primary Adult",NA,NA,NA,NA,0,"0",NA,NA,NA,NA,NA,316,316,0,0,"--","--","--","--","--","--","--","--",0,160,0,480,160,0,0,"--",25,134,149,8,172,124,4,0,"n/a",2,13,1,8,307,1,183,133,0,0,100,213,3,299,133,292,146,118,1,14,16,67
"138","June 2022",3049000061,NA,2,"Medical Group","Primary Adult",NA,"Primary Adult",NA,NA,NA,NA,0,"0",NA,NA,NA,NA,NA,2070,2070,0,0,"--","--","--","--","--","--","--","--",0,0,0,160,160,160,0,"--",60,152,112,3,168,153,3,0,"n/a",0,3,0,1,324,2,257,70,0,0,122,200,7,304,92,304,176,12,0,1,0,5
"139","July 2022",3019024088,NA,2,"Medical Group","Primary Family","Primary Family","Primary Family",NA,NA,NA,NA,1,"1 RN : 1 site",NA,NA,NA,NA,NA,1444,1444,0,0,"--","--","--","--","--","--","--","--",240,0,160,640,710,640,0,"--",420,689,332,3,609,586,84,0,"n/a",3,149,13,142,1285,17,914,530,0,0,949,470,25,1260,315,1248,538,13,0,1,1,7
"140","July 2022",3019024401,NA,2,"Medical Group","Primary Family","Primary Family","Primary Family",NA,NA,NA,NA,0,"0",NA,NA,NA,NA,NA,774,774,0,0,"--","--","--","--","--","--","--","--",320,480,0,640,160,160,0,"--",91,374,304,5,64,684,4,0,"n/a",3,15,4,20,748,6,437,337,0,0,413,351,10,661,196,748,369,0,0,0,0,0
"141","July 2022",3019024893,NA,2,"Medical Group","Primary Family","Primary Family","Primary Family",NA,NA,NA,NA,1,"1 RN : 1 site",NA,NA,NA,NA,NA,1142,1113,29,0,"--","--","--","--","--","--","--","--",320,96,0,800,624,160,0,"--",254,579,301,8,46,997,21,0,"n/a",4,69,4,62,1067,13,573,569,0,0,751,363,28,1024,189,1044,405,33,0,2,9,19
"142","July 2022",3019024897,NA,2,"Medical Group","Primary Family","Primary Family","Primary Family",NA,NA,NA,NA,1,"1 RN : 1 site",NA,NA,NA,NA,NA,521,521,0,0,"--","--","--","--","--","--","--","--",160,176,0,320,160,160,0,"--",78,212,227,4,61,421,6,0,"n/a",3,27,3,17,501,3,273,248,0,0,255,264,2,498,108,482,205,82,0,8,4,65
"143","July 2022",3019024901,NA,2,"Medical Group","Primary Family","Primary Family","Primary Family",NA,NA,NA,NA,1,"1 RN : 2 sites",NA,NA,NA,NA,NA,473,473,0,0,"--","--","--","--","--","--","--","--",0,160,0,320,160,160,0,"--",141,242,87,3,70,349,11,3,"n/a",1,29,10,27,437,9,291,182,0,0,314,152,7,466,154,465,248,8,0,0,1,7
"144","July 2022",3019073000,NA,2,"Medical Group","Primary Family","Primary Family","Primary Family",NA,NA,NA,NA,0,"0",NA,NA,NA,NA,NA,448,448,0,0,"--","--","--","--","--","--","--","--",0,160,0,320,160,160,0,"--",16,181,242,9,36,390,5,0,"n/a",0,13,4,6,435,7,243,205,0,0,189,256,3,324,42,297,118,179,0,0,9,167
"145","July 2022",3019073690,NA,2,"Medical Group","Primary Family","Primary Family","Primary Family",NA,NA,NA,NA,1,"1 RN : 1 site",NA,NA,NA,NA,NA,1104,1098,6,0,"--","--","--","--","--","--","--","--",320,784,160,1920,960,800,0,"--",62,427,592,23,88,980,9,1,"n/a",3,21,2,22,1074,8,651,453,0,0,438,651,15,966,213,1001,510,164,0,9,23,126
"146","July 2022",3019073940,NA,2,"Medical Group","Primary Family","Primary Family","Primary Family",NA,NA,NA,NA,1,"1 RN : 1 site",NA,NA,NA,NA,NA,1270,1268,2,0,"--","--","--","--","--","--","--","--",160,496,0,960,640,480,0,"--",162,670,425,12,471,720,14,2,"n/a",4,46,12,42,1212,15,781,488,0,0,712,534,24,1053,239,1219,624,259,0,15,19,211
"147","July 2022",3019074770,NA,2,"Medical Group","Primary Family","Primary Family","Primary Family",NA,NA,NA,NA,0,"0",NA,NA,NA,NA,NA,1076,1076,0,0,"--","--","--","--","--","--","--","--",0,320,0,816,496,320,0,"--",193,519,351,13,442,501,47,1,"n/a",3,74,8,35,1023,18,670,406,0,0,621,437,18,978,279,992,443,344,0,15,30,283
"148","July 2022",3019074880,NA,2,"Medical Group","Primary Family","Primary Family","Primary Family",NA,NA,NA,NA,1,"1 RN : 3 sites",NA,NA,NA,NA,NA,127,126,1,0,"--","--","--","--","--","--","--","--",0,0,0,240,288,160,0,"--",14,77,34,1,60,47,3,0,"n/a",0,15,1,14,111,1,84,42,0,0,74,52,1,120,30,122,66,28,0,0,2,24
"149","July 2022",3019078330,NA,2,"Medical Group","Primary Family","Primary Family","Primary Family",NA,NA,NA,NA,1,"1 RN : 1 site",NA,NA,NA,NA,NA,579,578,1,0,"--","--","--","--","--","--","--","--",160,16,0,608,320,0,0,"--",127,292,154,6,170,355,8,1,"n/a",1,41,3,33,535,11,344,235,0,0,362,211,6,560,87,560,259,97,0,3,8,85
"150","July 2022",3019083900,NA,2,"Medical Group","Primary Family","Primary Family","Primary Family",NA,NA,NA,NA,1,"1 RN : 1 site",NA,NA,NA,NA,NA,1416,1416,0,0,"--","--","--","--","--","--","--","--",336,0,160,1376,1360,160,0,"--",273,611,517,15,181,920,168,0,"n/a",5,104,38,62,1322,32,815,601,0,0,820,576,20,1260,379,1311,377,384,0,17,28,326
"151","July 2022",3019083950,NA,2,"Medical Group","Primary Family","Primary Family","Primary Family",NA,NA,NA,NA,1,"1 RN : 2 sites",NA,NA,NA,NA,NA,498,498,0,0,"--","--","--","--","--","--","--","--",0,128,0,480,288,160,0,"--",107,219,108,2,97,304,4,0,"n/a",2,21,8,18,410,8,277,159,0,0,292,138,6,400,69,412,193,88,0,2,9,77
"152","July 2022",3019084000,NA,2,"Medical Group","Primary Family","Primary Family","Primary Family",NA,NA,NA,NA,1,"1 RN : 2 sites",NA,NA,NA,NA,NA,1719,1718,1,0,"--","--","--","--","--","--","--","--",160,64,160,480,320,320,0,"--",280,841,579,19,242,1314,36,3,"n/a",11,103,10,93,1613,13,982,737,0,0,980,721,18,1597,326,1518,675,0,0,0,0,0
"153","July 2022",3019086630,NA,2,"Medical Group","Primary Family","Primary Family","Primary Family",NA,NA,NA,NA,1,"1 RN : 2 sites",NA,NA,NA,NA,NA,539,539,0,0,"--","--","--","--","--","--","--","--",160,0,0,176,416,160,0,"--",230,241,66,2,325,138,17,0,"n/a",4,49,5,18,514,7,370,169,0,0,425,108,6,480,83,503,235,8,0,0,0,8
"154","July 2022",3019090090,NA,2,"Medical Group","Primary Family","Primary Family","Primary Family",NA,NA,NA,NA,1,"1 RN : 2 sites",NA,NA,NA,NA,NA,364,351,13,0,"--","--","--","--","--","--","--","--",320,0,0,320,240,0,0,"--",54,154,153,3,31,316,1,0,"n/a",0,14,2,23,340,1,256,108,0,0,170,191,3,327,90,341,153,0,0,0,0,0
"155","July 2022",3019091030,NA,2,"Medical Group","Primary Family","Primary Family","Primary Family",NA,NA,NA,NA,1,"1 RN : 2 sites",NA,NA,NA,NA,NA,262,262,0,0,"--","--","--","--","--","--","--","--",160,0,0,160,160,0,0,"--",32,131,98,1,20,213,3,0,"n/a",1,22,3,22,239,1,141,121,0,0,146,113,3,261,38,261,128,35,0,3,7,24
"156","July 2022",3019091900,NA,2,"Medical Group","Primary Family","Primary Family","Primary Family",NA,NA,NA,NA,1,"1 RN : 2 sites",NA,NA,NA,NA,NA,38,35,3,0,"--","--","--","--","--","--","--","--",160,0,0,480,176,0,0,"--",25,90,68,2,31,133,4,0,"n/a",1,15,1,8,174,3,119,66,0,0,98,84,3,168,28,172,72,0,0,0,0,0
"157","July 2022",3019097350,NA,2,"Medical Group","Primary Family","Primary Family","Primary Family","No","No","No","Yes",1,"1 RN : 1 site","No","No","N/A","No","N/A",588,588,0,0,"--","--","--","--","--","--","--","--",160,640,0,1120,640,800,0,"--",184,315,89,0,52,482,13,0,"n/a",1,35,5,25,561,2,316,272,0,0,462,113,13,559,69,569,236,0,0,0,0,0
"158","July 2022",3039000021,NA,2,"Medical Group","Primary Family","Primary Family","Primary Family",NA,NA,NA,NA,1,"1 RN : 1 site",NA,NA,NA,NA,NA,38,38,0,0,"--","--","--","--","--","--","--","--",0,0,0,1280,1296,0,160,"--",22,11,5,0,19,19,0,0,"n/a",0,0,0,3,35,0,25,13,0,0,19,11,8,0,0,0,0,0,0,0,0,0
"159","July 2022",3039000022,NA,2,"Medical Group","Primary Family","Primary Family","Primary Family",NA,NA,NA,NA,0,"0",NA,NA,NA,NA,NA,298,298,0,0,"--","--","--","--","--","--","--","--",0,160,0,320,160,160,0,"--",69,132,89,8,278,5,2,0,"n/a",1,10,2,3,294,1,225,73,0,0,141,154,3,285,94,284,156,114,0,6,10,89
"160","July 2022",3039000049,NA,2,"Medical Group","Primary Family","Primary Family","Primary Family",NA,NA,NA,NA,0,"0",NA,NA,NA,NA,NA,294,294,0,0,"--","--","--","--","--","--","--","--",0,0,0,160,160,160,0,"--",211,66,17,0,104,143,23,0,"n/a",0,18,6,15,271,8,213,81,0,0,241,46,7,238,61,247,97,114,0,0,2,110
"161","July 2022",3039000057,NA,2,"Medical Group","Primary Family","Primary Family","Primary Family",NA,NA,NA,NA,0,"0",NA,NA,NA,NA,NA,1210,1210,0,0,"--","--","--","--","--","--","--","--",0,0,0,320,1280,0,0,"--",176,625,362,28,1022,142,2,0,"n/a",0,25,0,20,1171,0,594,597,0,0,224,766,220,277,102,276,141,603,25,27,74,383
"162","July 2022",3039000112,NA,2,"Medical Group","Primary Family","Primary Family","Primary Family",NA,NA,NA,NA,1,"1 RN : 2 sites",NA,NA,NA,NA,NA,528,528,0,0,"--","--","--","--","--","--","--","--",0,0,0,160,320,160,0,"--",184,211,130,3,123,163,176,0,"n/a",4,44,18,49,440,39,345,183,0,0,365,154,9,491,104,500,148,78,0,4,6,67
"163","July 2022",3039000124,NA,2,"Medical Group","Primary Family","Primary Family","Primary Family",NA,NA,NA,NA,1,"1 RN : 3 sites",NA,NA,NA,NA,NA,194,193,1,0,"--","--","--","--","--","--","--","--",160,0,0,320,160,0,0,"--",116,70,7,1,56,91,18,0,"n/a",0,16,13,15,170,9,155,39,0,0,174,16,4,152,32,191,91,23,0,0,0,22
"164","July 2022",3039000134,NA,2,"Medical Group","Primary Family","Primary Family","Primary Family",NA,NA,NA,NA,1,"1 RN : 3 sites",NA,NA,NA,NA,NA,498,498,0,0,"--","--","--","--","--","--","--","--",0,0,0,160,304,160,0,"--",132,212,151,3,93,278,55,0,"n/a",0,67,5,30,462,6,331,167,0,0,288,182,28,466,128,472,193,130,0,1,7,119
"165","July 2022",3039000166,NA,2,"Medical Group","Primary Family","Primary Family","Primary Family",NA,NA,NA,NA,0,"0",NA,NA,NA,NA,NA,260,260,0,0,"--","--","--","--","--","--","--","--",0,0,0,160,160,0,0,"--",52,128,78,2,231,19,0,0,"n/a",0,10,0,9,251,0,148,112,0,0,124,131,5,242,63,244,126,57,0,8,13,27
"166","July 2022",3039000181,NA,2,"Medical Group","Primary Family","Primary Family","Primary Family",NA,NA,NA,NA,1,"1 RN : 2 sites",NA,NA,NA,NA,NA,256,256,0,0,"--","--","--","--","--","--","--","--",160,0,0,160,160,0,0,"--",65,130,58,3,28,154,32,0,"n/a",0,41,1,15,236,5,106,150,0,0,178,74,4,252,25,252,71,0,0,0,0,0
"167","July 2022",3039024730,NA,2,"Medical Group","Primary Family","Primary Family","Primary Family",NA,NA,NA,NA,1,"1 RN : 3 sites",NA,NA,NA,NA,NA,885,883,2,0,"--","--","--","--","--","--","--","--",160,0,160,464,480,160,0,"--",222,424,236,3,118,570,38,0,"n/a",0,135,24,62,791,32,467,418,0,0,571,295,19,724,217,741,254,0,0,0,0,0
"168","July 2022",3039024764,NA,2,"Medical Group","Primary Family","Primary Family","Primary Family",NA,NA,NA,NA,0,"0",NA,NA,NA,NA,NA,364,364,0,0,"--","--","--","--","--","--","--","--",0,0,0,0,0,0,0,"--",238,99,23,1,219,89,10,0,"n/a",3,16,24,17,322,22,191,170,0,0,295,61,5,351,79,347,156,0,0,0,0,0
"169","July 2022",3049000033,NA,2,"Medical Group","Primary Family","Primary Family","Primary Family",NA,NA,NA,NA,0,"0",NA,NA,NA,NA,NA,286,286,0,0,"--","--","--","--","--","--","--","--",0,320,0,0,160,640,0,"--",26,124,128,7,123,157,0,0,"n/a",0,2,3,1,283,1,170,115,0,0,90,185,11,253,109,202,109,50,0,2,11,31
"170","July 2022",3049000048,NA,2,"Medical Group","Primary Family","Primary Family","Primary Family",NA,NA,NA,NA,0,"0",NA,NA,NA,NA,NA,272,272,0,0,"--","--","--","--","--","--","--","--",0,160,0,160,160,160,0,"--",63,119,87,3,110,144,4,1,"n/a",0,11,2,8,264,0,156,116,0,0,111,152,9,222,63,220,118,27,0,2,1,23
"171","July 2022",3049000051,NA,2,"Medical Group","Primary Family","Primary Family","Primary Family",NA,NA,NA,NA,0,"0",NA,NA,NA,NA,NA,297,297,0,0,"--","--","--","--","--","--","--","--",0,320,0,0,160,640,0,"--",18,98,172,9,81,202,1,0,"n/a",0,6,7,0,295,2,154,143,0,0,65,225,7,255,104,222,95,37,0,4,7,22
