"","Month (We are collecting April, May, June, July, August, September of 2022 for each clinic)","Unit of Measure Name (Primary Clinic #1, Primary Clinic #2, etc) (if you have 150 clinics you should have 150 lines of data submitted here)","Organization Number","Organization Region Type (Rural, Community, Urban): Rural 1, Community 2, Urban 3","Organization Type (Stand Alone Medical Group, Academic HealthSystem, Integrated Health System, Federally Qualitifed Health System, Rural Health System): Stand Alone 1, Academic 2, Integrated 3, Federally Qualified 4, Rural 5","Number of Ambulatory Clinics (Total Clinics: Primary Peds, Primary Adult, Primary Family, Specialty, Hospital Based, Stand Alone, other)","Total Number of Ambulatory Primary Care Clinics that care for all ages (pediatric through adult)","Total number of Ambulatory Primary Care Clinics that Serve Adults over 18 years of Age","Organization Magnet Status: Yes 1, No 2","Organization Magnet Status inclusive of Ambulatory Structure: Yes 1, No 2","Organization Stand alone for Ambulatory Structure. Achievement of Magnet: Yes 1, No 2","Chief Nursing Officer Present for Ambulatory Structure: Yes 1, No 2","Number of Primary Care Clinics serving adults over 18 years of age with RN Manager","Ratio of RN Manager to Primary Care Clinic serving over 18 year old adults (choose the following: 1= 1:1 ratio, 2= 3:1 ratio, 3= 6:1 ratio, 4= 1: 10 or over clinics ratio)","Collective Bargaining Unit in Place Ambulatory Structure: Yes 1, No 2","Centralized RN Staffing in place for Ambulatory Primary Care Clinics Submitted? Yes 1 or No 2","If Centralized RN Staffing in place for Ambulatory Primary Clinics Submitted what are Actual RN Hours Worked/month by that combined staff?","Centralized Telehealth Center in place for Ambulatory Primary Care Clinics for the purposes of Access, Population Health or Care Coordination: Yes 1 or No 2","If Centralized Telehealth Center in place for Ambulatory Primary Care Clinics Submitted what are the actual Hours Worked/month by that combined staff?","Unit of Measurement Total Number of Patients over 18 years of age seen/month (Total number of patients seen/month= visits +  telehealth encounters + RN Visits/Month collected for the 6 months collected) (April thru September 2022) (Sum of Column AB, AC, AD)","Unit of Measurement Total Number of Visits/Month/6 months collected for patients over 18 years of age","Unit of Measurement Total Number of RN Visits/Month/6 months collected for patients over 18 years of age","Unit of Measurement Total Number of RN Tele or Virtual Visits/Month/6 months collected","Actual Hours Worked RN/Clinic/Month Collected","Actual Hours Worked APN/Clinic/Month Collected","Actual Hours Worked PA/Clinic/Month Collected","Actual Hours Worked MA/Clinic/Month Collected","Actual Hours Worked MD/Clinic/Month Collected","Actual Hours Worked LPN/Clinic/Month Collected","Actual Hours Worked/Other Ancillary Staff","Actual Hours Worked Contract Staff/Clinic/Month Collected","Budgeted Hours Worked RN/Clinic/Month Collected","Budgeted Hours Worked APN/Clinic/Month Collected","Budgeted Hours Worked PA/Clinic/Month Collected","Budgeted Hours Worked MA/Clinic/Month Collected","Budgeted Hours Worked MD/Clinic/Month Collected","Budgeted Hours Worked LPN/Clinic/Month Collected","Budgeted Hours Worked/Other Ancillary Staff/Clinic/Month Collected","Budgeted Hours Worked Contract Staff/Clinic/Month Collected","Number of Patients Served between 18-40 years of age/Clinic/Month","Number of Patients Served between 41-65 years of age/Clinic/Month","Number of Patients Served between 66-89 years of age/Clinic/Month","Number of Patients Served over 89 years of age/Clinic/Month","Race: Number of Black African American Patients Served in Unit/Month Collected","Race: Number of Caucasian/White Patients Served in Unit/Month Collected","Race: Number of Asian Patients Served in Unit/Month Collected","Race: Number of Native Hawaiaan Patients Served in Unit/Month Collected","Race: Number Of Other Pacific Islander Patients Served in Unit/Month Collected","Race: Number of American Indian/Alaskan Indian Patients Served in Unit/Month Collected","Race: Number of Multiracial Patients (more than 1 race identified) Served in Unit/Month Collected","Race: Number of Unreported Race Patients Served in Unit/Month Collected","Ethnicity: Numberof Hispanic Patient Service in Unit/Month Collected","Ethnicity: Number of Non Hispanic Patients. Served in Unit/Month Collected","Ethnicity: Number of Hispanic Patients Served in Unit/Month Collected","Ethnicity: Number of Unreported Ethnicity Patients Served in Unit/Month Collected","Gender at Birth: Number of Female Patients Served in Unit/Month Collected","Gender at Birth: Number of Male Patients Served in Unit/Month Collected","Gender at Birth: Number of Patients Who Identify as Unknown Gender at Time of Birth in Unit/Month Collected","Gender at Birth: Number of Patients Who Identify as ""X"" Gender at time of Birth in Unit/Month","Number of Patients with Private Payor in Unit/Month Collected","Number of Patients with Public/Governmental Payor in Unit/Month Collected","Number of Patients that are Uninsured in unit/month collected","Number of Patients Blood Pressure Assessed in Unit/Month Collected","Number of Patients with BP over 140/90/Unit/Month Collected","Number of Patients with Body Mass Index Assessed in Unit/Month Collected","Number of Patients with Body Mass Index over 30 in unit/month collected","Number of Patients with HGB A1C Assessed in unit/month collected","Number of Patients with HGB A1C over 9.0 in unit/month collected","Number of Patients with HGB A1C 8.0-8.9 in unit/month collected","Number of Patients with HGB A1C under 7.0-7.9in unit/month collected","Number of Patients with HGB A1C under 7.0","Number of Patients with HGB A1C equal 9.0 in unit/month collected"
"86",2022-08-01,"Primary Clinic #6","UM#?",3,"2-Academic HealthSystem",160,29,20,1,1,2,1,20,1,1,1,"243.28",1,"360.42","1345",1256,84,5,321.54,136,0,3004,609.555552666667,165.815,1220.2,0,625.45,"Unavailable at UM","Unavailable at UM",2745.45,"Unavailable at UM",2745.45,2745.45,0,415,621,299,10,58,1173,35,"0","0",13,31,10,49,1258,49,31,1344,510,0,"Unavailable at UM",702,620,11,1011,123,943,421,314,6,10,25,273,"0"
"87",2022-08-01,"Primary Clinic #7","UM#?",3,"2-Academic HealthSystem",160,29,20,1,1,2,1,20,1,1,1,"243.28",1,"360.42","1670",1539,126,5,120.25,0,83.42,1468,1023.38887191667,423.35,705.54,0,625.45,"Unavailable at UM","Unavailable at UM",2745.45,"Unavailable at UM",2745.45,2745.45,0,488,642,521,19,256,1176,84,"0","0",14,57,19,61,1562,61,43,1666,799,1,"Unavailable at UM",555,1105,22,1371,268,1276,492,363,22,14,32,294,"1"
"88",2022-08-01,"Primary Clinic #8","UM#?",3,"2-Academic HealthSystem",160,29,20,1,1,2,1,20,1,1,1,"243.28",1,"360.42","1938",1670,254,14,764.51,338,NA,2644,862.874995666667,0.5,0,0,625.45,"Unavailable at UM","Unavailable at UM",2745.45,"Unavailable at UM",2745.45,2745.45,0,435,750,721,32,98,1665,69,"0","0",4,21,19,56,1726,56,151,1936,764,0,"Unavailable at UM",792,1131,11,1513,189,1446,490,492,7,10,29,445,"1"
"89",2022-08-01,"Primary Clinic #9","UM#?",3,"2-Academic HealthSystem",160,29,20,1,1,2,1,20,1,1,1,"243.28",1,"360.42","2008",1878,122,8,664.45,0,296.11,2358,649.458327916667,0,890.4,0,997.33,"Unavailable at UM","Unavailable at UM",4077.33,"Unavailable at UM",4077.33,4077.33,0,679,917,397,15,312,1421,80,"0","1",12,48,14,101,1841,101,57,2001,735,0,"Unavailable at UM",920,1063,38,1500,125,1440,583,485,10,9,30,435,"1"
"90",2022-08-01,"Primary Clinic #10","UM#?",3,"2-Academic HealthSystem",160,29,20,1,1,2,1,20,1,1,1,"243.28",1,"360.42","2608",2429,173,6,823.49,528,127.47,4320,975.09026225,359,1875.7,0,997.33,"Unavailable at UM","Unavailable at UM",4077.33,"Unavailable at UM",4077.33,4077.33,0,680,1060,820,48,55,2465,10,"0","1",14,22,9,61,2460,61,83,2606,988,0,"Unavailable at UM",1021,1553,30,2152,224,2090,947,586,21,31,63,470,"1"
"91",2022-08-01,"Primary Clinic #11","UM#?",3,"2-Academic HealthSystem",160,29,20,1,1,2,1,20,1,1,1,"243.28",1,"360.42","1434",1323,106,5,356.25,260,84.14,2257.41,529.208329,147.75,770.06,0,997.33,"Unavailable at UM","Unavailable at UM",4077.33,"Unavailable at UM",4077.33,4077.33,0,383,675,363,13,22,1355,18,"0","0",4,14,10,35,1361,35,38,1434,575,0,"Unavailable at UM",711,710,15,1110,70,1050,405,266,11,10,19,226,"0"
"92",2022-08-01,"Primary Clinic #12","UM#?",3,"2-Academic HealthSystem",160,29,20,1,1,2,1,20,1,1,1,"243.28",1,"360.42","1225",1170,40,15,551.7,184,0,3495,579.583329,171,1019.8,0,997.33,"Unavailable at UM","Unavailable at UM",4077.33,"Unavailable at UM",4077.33,4077.33,0,360,603,259,3,115,882,68,"0","1",3,23,10,24,1159,24,40,1224,442,0,"Unavailable at UM",582,583,51,863,63,761,272,301,12,9,24,256,"0"
"93",2022-08-01,"Primary Clinic #13","UM#?",3,"2-Academic HealthSystem",160,29,20,1,1,2,1,20,1,1,1,"243.28",1,"360.42","1692",1604,62,26,333.92,149.6,43.69,2353,757.611105333334,0,910.6,0,997.33,"Unavailable at UM","Unavailable at UM",4077.33,"Unavailable at UM",4077.33,4077.33,0,581,796,308,7,214,1115,79,"0","0",10,59,13,89,1564,89,34,1689,620,0,"Unavailable at UM",921,742,33,1015,79,967,359,378,13,10,29,324,"2"
"94",2022-08-01,"Primary Clinic #14","UM#?",3,"2-Academic HealthSystem",160,29,20,1,1,2,1,20,1,1,1,"243.28",1,"360.42","1663",1616,46,1,551.64,0,48.75,3293,660.291659083333,185.75,898.83,0,997.33,"Unavailable at UM","Unavailable at UM",4077.33,"Unavailable at UM",4077.33,4077.33,0,804,637,218,4,691,745,30,"0","2",11,44,13,183,1449,183,25,1658,547,0,"Unavailable at UM",561,980,98,1172,230,1146,571,374,22,11,27,313,"1"
"95",2022-08-01,"Primary Clinic #15","UM#?",3,"2-Academic HealthSystem",160,29,20,1,1,2,1,20,1,1,1,"243.28",1,"360.42","1186",880,223,83,603.602,0,0,0,443.805554833333,0,893.35,0,608,"Unavailable at UM","Unavailable at UM",1171.2,"Unavailable at UM",1171.2,1171.2,0,0,14,1007,165,127,943,43,"0","3",4,22,13,24,1126,24,33,1186,440,0,"Unavailable at UM",44,1141,2,794,182,698,207,227,4,11,24,188,"0"
"96",2022-08-01,"Primary Clinic #16","UM#?",3,"2-Academic HealthSystem",160,29,20,1,1,2,1,20,1,1,1,"243.28",1,"360.42","257",181,74,2,106.518,0,0,0,125.666666666667,0,0,0,608,"Unavailable at UM","Unavailable at UM",1171.2,"Unavailable at UM",1171.2,1171.2,0,0,4,215,38,16,221,2,"0","0",0,3,2,12,241,12,3,257,81,0,"Unavailable at UM",15,246,0,223,57,202,60,61,3,5,9,43,"1"
"97",2022-08-01,"Primary Clinic #17","UM#?",3,"2-Academic HealthSystem",160,29,20,1,1,2,1,20,1,1,1,"243.28",1,"360.42","14",12,2,0,0,0,0,0,7.58333333333333,0,0,0,608,"Unavailable at UM","Unavailable at UM",1171.2,"Unavailable at UM",1171.2,1171.2,0,0,0,13,1,0,9,0,"0","0",0,0,0,0,14,0,0,14,2,0,"Unavailable at UM",0,14,0,8,1,8,5,6,0,0,2,4,"0"
"98",2022-08-01,"Primary Clinic #18","UM#?",3,"2-Academic HealthSystem",160,29,20,1,1,2,1,20,1,1,1,"243.28",1,"360.42","633",566,65,2,263,0,0,735.07,345.58333225,184,287.33,0,625.45,"Unavailable at UM","Unavailable at UM",2745.45,"Unavailable at UM",2745.45,2745.45,0,134,254,241,4,5,608,9,"0","0",2,4,6,8,0,8,26,633,241,0,"Unavailable at UM",276,356,3,491,54,459,183,158,7,6,14,130,"1"
"99",2022-08-01,"Primary Clinic #19","UM#?",3,"2-Academic HealthSystem",160,29,20,1,1,2,1,20,1,1,1,"243.28",1,"360.42","931",873,56,2,98,70,0,1320.7,617.138880583333,259.58,958,0,625.45,"Unavailable at UM","Unavailable at UM",2745.45,"Unavailable at UM",2745.45,2745.45,0,320,0,169,1,133,680,49,"0","0",5,21,15,27,888,27,15,930,305,0,"Unavailable at UM",530,401,3,754,52,713,293,286,12,9,19,246,"0"
"100",2022-08-01,"Primary Clinic #20","UM#?",3,"2-Academic HealthSystem",160,29,20,1,1,2,1,20,1,1,1,"243.28",1,"360.42","841",809,29,3,137,138,0,781.2,552.04860425,131.8,42.2,0,625.45,"Unavailable at UM","Unavailable at UM",2745.45,"Unavailable at UM",2745.45,2745.45,0,338,356,145,2,92,578,85,"0","0",2,19,10,27,770,27,40,838,262,0,"Unavailable at UM",397,426,3,599,33,578,191,200,0,3,13,183,"1"
"101",2022-09-01,"Primary Clinic #1","UM#?",3,"2-Academic HealthSystem",160,29,20,1,1,2,1,20,1,1,1,"225.8",1,"378.99","1893",1641,237,15,446.25,0,0,1620.45,964.89,214.4,731.3,0,647.56,"Unavailable at UM","Unavailable at UM",2790.84,"Unavailable at UM",2790.84,2790.84,0,362,883,631,17,209,1436,87,"0","2",12,41,21,77,1721,77,90,1892,665,0,"Unavailable at UM",766,1125,17,1492,265,1396,506,555,11,14,33,495,"2"
"102",2022-09-01,"Primary Clinic #2","UM#?",3,"2-Academic HealthSystem",160,29,20,1,1,2,1,20,1,1,1,"225.8",1,"378.99","1678",1493,166,19,495.17,0,221.36,821.2,614.16,0,296.49,0,647.56,"Unavailable at UM","Unavailable at UM",2790.84,"Unavailable at UM",2790.84,2790.84,0,285,721,641,31,21,1601,13,"0","1",7,12,11,19,1577,19,78,1675,678,0,"Unavailable at UM",682,963,8,1208,88,1094,484,527,18,16,31,462,"0"
"103",2022-09-01,"Primary Clinic #3","UM#?",3,"2-Academic HealthSystem",160,29,20,1,1,2,1,20,1,1,1,"225.8",1,"378.99","1423",1272,142,9,179.25,160,38.28,1585.5,620.75,321.75,763,0,647.56,"Unavailable at UM","Unavailable at UM",2790.84,"Unavailable at UM",2790.84,2790.84,0,222,669,514,18,146,1093,75,"0","0",3,29,23,30,1347,30,45,1422,646,0,"Unavailable at UM",627,773,5,1147,164,1068,428,459,14,21,52,371,"1"
"104",2022-09-01,"Primary Clinic #4","UM#?",3,"2-Academic HealthSystem",160,29,20,1,1,2,1,20,1,1,1,"225.8",1,"378.99","1490",1358,127,5,341.25,92,0,480.6,639.17,267,118,0,647.56,"Unavailable at UM","Unavailable at UM",2790.84,"Unavailable at UM",2790.84,2790.84,0,218,684,568,20,151,1052,140,"0","0",6,46,20,37,1375,37,74,1486,655,0,"Unavailable at UM",565,905,6,1129,158,1057,352,439,11,13,37,377,"1"
"105",2022-09-01,"Primary Clinic #5","UM#?",3,"2-Academic HealthSystem",160,29,20,1,1,2,1,20,1,1,1,"225.8",1,"378.99","1087",946,134,7,142.11,0,48.75,2308.3,508.72,0,0,0,647.56,"Unavailable at UM","Unavailable at UM",2790.84,"Unavailable at UM",2790.84,2790.84,0,211,514,343,19,113,856,50,"0","0",8,21,11,21,1036,21,28,1085,391,0,"Unavailable at UM",548,534,2,840,159,792,320,300,10,10,18,262,"0"
"106",2022-09-01,"Primary Clinic #6","UM#?",3,"2-Academic HealthSystem",160,29,20,1,1,2,1,20,1,1,1,"225.8",1,"378.99","1247",1146,98,3,372.42,16,0,2579,639.17,138.1,1106.93,0,647.56,"Unavailable at UM","Unavailable at UM",2790.84,"Unavailable at UM",2790.84,2790.84,0,378,522,338,9,43,1101,31,"0","1",9,19,7,45,1154,45,38,1244,471,0,"Unavailable at UM",598,617,12,911,133,857,367,337,9,10,22,296,"0"
"107",2022-09-01,"Primary Clinic #7","UM#?",3,"2-Academic HealthSystem",160,29,20,1,1,2,1,20,1,1,1,"225.8",1,"378.99","1471",1358,110,3,136.33,0,36.11,1332,904.22,218.5,583.1,0,647.56,"Unavailable at UM","Unavailable at UM",2790.84,"Unavailable at UM",2790.84,2790.84,0,382,561,517,11,201,1060,75,"0","0",11,43,18,66,1371,66,32,1470,693,1,"Unavailable at UM",498,958,16,1199,236,1118,420,352,15,19,19,299,"0"
"108",2022-09-01,"Primary Clinic #8","UM#?",3,"2-Academic HealthSystem",160,29,20,1,1,2,1,20,1,1,1,"225.8",1,"378.99","1736",1496,229,11,774.75,270,0,2443,748.22,142,0,0,647.56,"Unavailable at UM","Unavailable at UM",2790.84,"Unavailable at UM",2790.84,2790.84,0,334,716,663,23,83,1486,62,"0","0",8,27,15,53,1534,53,142,1735,680,0,"Unavailable at UM",662,1042,10,1318,174,1263,451,472,7,17,31,417,"0"
"109",2022-09-01,"Primary Clinic #9","UM#?",3,"2-Academic HealthSystem",160,29,20,1,1,2,1,20,1,1,1,"225.8",1,"378.99","2141",2022,112,7,509.8,0,368.69,1982,607.75,0,775.1,0,969.6,"Unavailable at UM","Unavailable at UM",4048.53,"Unavailable at UM",4048.53,4048.53,0,719,976,437,9,340,1508,92,"0","0",13,57,27,113,1950,113,75,2138,812,0,"Unavailable at UM",971,1145,32,1576,158,1488,584,463,11,11,31,409,"1"
"110",2022-09-01,"Primary Clinic #10","UM#?",3,"2-Academic HealthSystem",160,29,20,1,1,2,1,20,1,1,1,"225.8",1,"378.99","2517",2331,184,2,668.57,408,138.31,4039,957.76,328,2069,0,969.6,"Unavailable at UM","Unavailable at UM",4048.53,"Unavailable at UM",4048.53,4048.53,0,647,1019,813,38,57,2360,15,"0","0",10,18,22,58,2369,58,87,2517,1010,0,"Unavailable at UM",1002,1450,26,2032,218,1947,865,555,16,24,54,457,"4"
"111",2022-09-01,"Primary Clinic #11","UM#?",3,"2-Academic HealthSystem",160,29,20,1,1,2,1,20,1,1,1,"225.8",1,"378.99","1507",1400,100,7,301.92,240,106.53,2356,536.61,168.5,665.33,0,969.6,"Unavailable at UM","Unavailable at UM",4048.53,"Unavailable at UM",4048.53,4048.53,0,430,671,391,15,26,1385,19,"0","1",6,9,15,41,1413,41,52,1506,583,0,"Unavailable at UM",688,788,16,1150,63,1084,390,241,7,10,22,201,"1"
"112",2022-09-01,"Primary Clinic #12","UM#?",3,"2-Academic HealthSystem",160,29,20,1,1,2,1,20,1,1,1,"225.8",1,"378.99","1349",1276,66,7,499,96,0,3150,612.62,121,1004.1,0,969.6,"Unavailable at UM","Unavailable at UM",4048.53,"Unavailable at UM",4048.53,4048.53,0,401,658,284,6,119,937,110,"0","0",13,41,10,47,1259,47,43,1349,493,0,"Unavailable at UM",650,618,63,891,57,802,276,317,8,11,25,272,"1"
"113",2022-09-01,"Primary Clinic #13","UM#?",3,"2-Academic HealthSystem",160,29,20,1,1,2,1,20,1,1,1,"225.8",1,"378.99","1475",1371,82,22,457.25,94.4,70.06,2037,664.08,0,861.55,0,969.6,"Unavailable at UM","Unavailable at UM",4048.53,"Unavailable at UM",4048.53,4048.53,0,476,701,287,11,202,900,68,"0","1",9,55,14,78,1365,78,29,1472,574,0,"Unavailable at UM",777,650,45,915,79,863,345,364,12,8,19,324,"1"
"114",2022-09-01,"Primary Clinic #14","UM#?",3,"2-Academic HealthSystem",160,29,20,1,1,2,1,20,1,1,1,"225.8",1,"378.99","1659",1608,50,1,497.66,0,57.06,3112,672.48,167,893.11,0,969.6,"Unavailable at UM","Unavailable at UM",4048.53,"Unavailable at UM",4048.53,4048.53,0,730,690,234,5,713,742,21,"0","0",20,53,14,186,1433,186,34,1658,537,0,"Unavailable at UM",530,1023,98,1176,267,1148,591,354,16,19,30,289,"0"
"115",2022-09-01,"Primary Clinic #15","UM#?",3,"2-Academic HealthSystem",160,29,20,1,1,2,1,20,1,1,1,"225.8",1,"378.99","1182",894,211,77,573.1125,0,0,0,423.4,80,834.6,0,631.47,"Unavailable at UM","Unavailable at UM",1284.8,"Unavailable at UM",1284.8,1284.8,0,0,20,1011,151,110,943,49,"0","0",2,23,12,12,1130,12,34,1179,423,0,"Unavailable at UM",44,1115,3,779,195,706,202,259,0,10,32,217,"0"
"116",2022-09-01,"Primary Clinic #16","UM#?",3,"2-Academic HealthSystem",160,29,20,1,1,2,1,20,1,1,1,"225.8",1,"378.99","239",180,58,1,101.1375,0,0,0,120.25,0,0,0,631.47,"Unavailable at UM","Unavailable at UM",1284.8,"Unavailable at UM",1284.8,1284.8,0,0,4,208,27,16,200,7,"0","0",0,2,1,4,234,4,1,239,88,0,"Unavailable at UM",7,234,0,202,68,188,53,49,0,3,10,36,"0"
"117",2022-09-01,"Primary Clinic #17","UM#?",3,"2-Academic HealthSystem",160,29,20,1,1,2,1,20,1,1,1,"225.8",1,"378.99","56",38,18,0,0,0,0,29,36.29,0,0,0,631.47,"Unavailable at UM","Unavailable at UM",1284.8,"Unavailable at UM",1284.8,1284.8,0,0,1,48,7,6,39,2,"0","0",0,0,0,1,54,1,1,56,16,0,"Unavailable at UM",1,55,0,44,7,44,12,19,0,0,2,17,"0"
"118",2022-09-01,"Primary Clinic #18","UM#?",3,"2-Academic HealthSystem",160,29,20,1,1,2,1,20,1,1,1,"225.8",1,"378.99","652",580,71,1,299,0,0,634.13,356.06,168,246.54,0,647.56,"Unavailable at UM","Unavailable at UM",2790.84,"Unavailable at UM",2790.84,2790.84,0,151,265,232,4,20,613,5,"0","0",1,7,2,16,606,16,29,0,254,0,"Unavailable at UM",261,381,6,491,49,458,211,202,4,3,12,183,"0"
"119",2022-09-01,"Primary Clinic #19","UM#?",3,"2-Academic HealthSystem",160,29,20,1,1,2,1,20,1,1,1,"225.8",1,"378.99","904",837,63,4,234.92,80.9,0,1187,548.17,314,796,0,647.56,"Unavailable at UM","Unavailable at UM",2790.84,"Unavailable at UM",2790.84,2790.84,0,265,452,185,2,127,674,53,"0","1",8,31,7,27,855,27,20,902,307,0,"Unavailable at UM",481,407,5,736,64,682,297,274,9,13,24,228,"0"
"120",2022-09-01,"Primary Clinic #20","UM#?",3,"2-Academic HealthSystem",160,29,20,1,1,2,1,20,1,1,1,"225.8",1,"378.99","793",756,32,5,169.4,92,0,761,512.78,124,32.1,0,647.56,"Unavailable at UM","Unavailable at UM",2790.84,"Unavailable at UM",2790.84,2790.84,0,274,382,135,2,100,523,83,"0","0",2,19,17,23,735,23,32,790,229,0,"Unavailable at UM",376,405,5,551,29,531,196,232,1,7,17,207,"0"
